,Unnamed: 0,Nome da rede,Link veja,Critico,texto
10,,Bar Astor,https://vejasp.abril.com.br/estabelecimento/astor/,Resenha por Saulo Yassuda,"A marca da Cia. Tradicional de Comércio completou duas décadas em 2021. Nos últimos dois anos e meio, multiplicou-se e estreou duas filiais mais modernas, no Shopping JK Iguatemi e na Rua Oscar Freire. Mas quem quer curtir o clima boêmio-nostálgico original só o encontra na matriz, na Vila Madalena. O veterano Pereira, bartender da casa desde a abertura, costuma atender os habitués no balcão e solta bons clássicos, caso do manhattan (R$ 35,00). Coquetéis incluídos em 2021, como o citrus blossom (gim, xarope de laranja com alecrim, mix de cítricos e bitters), são feitos com o gim de marca própria, fabricado pela Virga. O chope (Brahma, R$ 10,50), muito bem tirado, é sempre um bom refresco. A maioria das pedidas da cozinha costuma dar certo, como os pastéis de carne bem temperada (R$ 36,00, seis unidades). A versão da casa para o filé oswaldo aranha (R$ 89,00) tem um bifão de filé-mignon perfeitamente grelhado coberto com manteiga de alho frito e bastaaaaante batata palha ao lado. Só não dá para entender por que arroz e farofa viram um mexidão em vez de vir separados."
11,,Aya Japanese Cuisine,https://vejasp.abril.com.br/estabelecimento/aya-japanese-cuisine/,Resenha por Arnaldo Lorençato,"Não há dúvida de que Juraci Pereira, sócio da casa, é um chef de talento. Com tantos predicados culinários, ele poderia abrir mão em pelo menos um de seus menus degustação de apelos fáceis e nada orientais como o uso de foie gras e de um dispensável azeite de trufas. Chamado de omakassê, esse menu especial tem preços que variam de R$ 195,00 a R$ 380,00. Pode incluir a casquinha de harumaki montada como uma flor com tiras grandes de lula ao molho de mostarda amarela, o tartare de meca com atum branco batido, um minúsculo foie gras com o tal azeite e o atum maçaricado com ovas mujol, flor de sal e dashi nas entradas. Seguese uma seleção de sushis: um ótimo atum bluefin, olho-de-boi com óleo de gergelim, anchova negra, meca com fatia de jalapeño, beijupirá com tangerina macerada, o clássico carapau com gengibre e cebolinha, o robalo com shissô e sal do Himalaia, a lula talhadinha com tangerina e muuuita flor de sal, a vieira canadense com limão-siciliano e flor de sal, camarão parcialmente empanado com limão-siciliano e flor de sal, o enrolado de ovas de salmão com ovo de codorna estrelado e molho de trufa em conserva picada (ela de novo), os enrolados de anchova negra com ovas de mujol, o atum maçaricado com foie gras e a anchova negra empanada com mel trufado (!) e pimenta sansho. Chega ainda uma boa lagostinha grelhada no molho de mel e a musse de coco bem firme com salada de frutas como morango e manga."
12,,Rubaiyat,https://vejasp.abril.com.br/estabelecimento/baby-beef-rubaiyat-jardim-paulistano/,Resenha por Arnaldo Lorençato,"Maior ganhador de todas as 25 edições consecutivas de VEJA SÃO PAULO COMER & BEBER, o Rubaiyat faturou 24 troféus em 25 anos de premiação. Em alguns anos foi contemplado com mais de uma vitória, distribuídas em categorias como a melhor feijoada e a melhor carta de vinhos. No quesito carnes, que é o que realmente interessa, a casa fundada pelo imigrante espanhol Belarmino Iglesias (1931-2017) e hoje concentrada em uma unidade no Itaim Bibi — não se inclui aqui o A Figueira Rubaiyat, que tem uma proposta um pouco diferente — atravessava um jejum de dois anos. Novamente, volta ao topo do pódio pela qualidade dos cortes. São exemplos a fraldinha (R$ 147,00) de consistência firme na medida e o ótimo assado de tira (R$ 147,00), que chega à mesa em duas etapas. Ou seja, é servido duas vezes. De acompanhamentos, há inclusões mais recentes, como a berinjela em cubos e gratinada com queijo parmesão (R$ 43,00). Há que lembrar também que a batata suflê, uma especialidade da casa, sempre aparece ao lado das carnes. De entrada, é praticamente imbatível o torresmo de rolo (R$ 48,00). Depois de temperado com ervas, vai ao forno para assar lentamente e chega à mesa com a pele crocante e quase livre de gordura. De extraordinário frescor, o quindim, bem amarelinho, leva creme de baunilha com um toque de cachaça, além de ser enfeitado com lascas de coco torrado. Custa R$ 22,00. Rede internacional, o Rubaiyat conta com unidades em Brasília, Rio de Janeiro, Madri, Buenos Aires e Santiago do Chile."
13,,Bagaceira,https://vejasp.abril.com.br/estabelecimento/bagaceira/,Resenha por Saulo Yassuda,"O endereço foi moldado para parecer um boteco autêntico — mas atualizado. A tarefa foi executada com sucesso pelos donos do bar vizinho Koya88, que abriram o Bagaceira em junho junto da chef Viviane Mello. Com casas estreladas no currículo, entre elas os nórdicos Maaemo (Oslo) e Noma (Copenhague), a cozinheira usa ingredientes de qualidade em seus preparos e dá um “twist” na tradicional comida botequeira. Isso significa que o pastel de bochecha (R$ 32,00 o trio) ganha um pouco de tutano no recheio, o que deixa o salgadinho ainda mais saboroso, e a batata frita cortada em tiras finas (R$ 28,00 a porção), vez ou outra mais macia que crocante, é polvilhada de vinagre em pó, assim como fazem alguns ingleses. Uma delícia, o bolovo (R$ 18,00 a unidade) é elaborado com copa lombo e morcilla mais um ovo caipira de gema cremosa no interior. Um coquetel para alternar com a cerveja em garrafa (R$ 16,00 a Becks de 600 mililitros). O haiboru bagaceira (R$ 29,00) leva Cynar, vinagre de pitanga, hortelã e club soda. É coisa boa."
14,,Balaio IMS,https://vejasp.abril.com.br/estabelecimento/balaio-ims/,Resenha por Arnaldo Lorençato,"Quem ainda se lembra do Esquina Mocotó, que teve vida breve e marcante na Vila Medeiros, vizinho do sertanejo Mocotó, certamente vai encontrar ecos no cardápio do Balaio IMS, no térreo de um centro cultural na Avenida Paulista. O chef Rodrigo Oliveira faz pratos com sua assinatura, sem se prender a uma região ou bioma brasileiros. Também estão presentes algumas vivências do cozinheiro em outros países. A excelente tostada de banana com porco defumado e salsa criolla (R$ 29,00) apresenta uma visão da América Hispânica com patacones cobertos por carne suína. Na versão salgada, os dadinhos de pamonha são embrulhados com alho-poró e ganham um purê verde de ervilha chamado de homus, tomatinho e minimilho grelhado, que forma uma guirlanda linda, linda na apresentação da receita. Custam 32,00. A clássica salada caesar deixa de ser clássica para ser preparada com alface-romana, croûtons muito crocantes feitos na casa e emulsão de mostarda com textura de maionese. Até aí, tudo dentro da norma, mas só até esse ponto, já que os complementos são jiló caramelado e milho tostado. Sai por R$ 29,00. O pirarucu assado faz par com musseline de alho-poró, tomate assado e chibé para ser misturado a uma farofa de farinha bolinha do Uarini (R$ 85,00). Não tem o mesmo efeito o trio de raviólis (R$ 72,00). O de massa amarela colorida por cúrcuma vem com galinha desfiada, mas ficaria tão melhor se seguisse a proposta clássica de transformar essa carne em uma quase pasta. Em compensação são ótimos o de fígado da ave na massa de beterraba e o de ragu de moela envelopado em massa verde de couve. Se encontrar quindim no cardápio, desconfie. Não se trata do doce clássico, mas de uma versão feita com uma ilê flottante sobre creme inglês de leite de coco artesanal mais lascas de coco queimado (R$ 23,00). Outra belezura quase sem açúcar é a panacota de macadâmia, figo, erva-doce e mel (R$ 26,00) com um discreto e bem-vindo traço amargo."
15,,Banzeiro,https://vejasp.abril.com.br/estabelecimento/banzeiro/,Resenha por Arnaldo Lorençato,"Quem já teve a oportunidade de conhecer o Banzeiro de Manaus não reconhecerá o ambiente simples e amplo da matriz na filial paulistana, mais parecida com o Moquém, instalado em um shopping da capital do Amazonas. O chef Felipe Schaedler, um dos melhores do país, mudou-se de mala e cuia para São Paulo, ainda que sempre volte ao Norte. É comum vê-lo na cozinha orientando a preparação de receitas como o bolinho de pirarucu de casaca (R$ 19,00 a dupla), preparado com peixe curado, banana e farinha de mandioca do Uarini, combinação que ressalta a doçura da fruta. Um sabor obrigatório para quem não tem restrições de paladar é a formiga naturalmente com sabor de capim-limão sobre espuma de mandioquinha (R$ 22,00). Em dupla ou trio, dá para escalar o excelente tambaqui de banda (R$ 169,00) na brasa com baião de dois cremoso, farofa, vinagrete e tartare de banana. Sobremesa de inspiração italiana com ingredientes nacionais, a panacota de castanha fresca (R$ 22,00) é quase gelatinosa de tão macia e contrasta com um crocante de castanha e puxuri, a noz-moscada amazônica."
16,,Barbacoa,https://vejasp.abril.com.br/estabelecimento/barbacoa-itaim-bibi/,Resenha por Arnaldo Lorençato,"Rodízio (R$ 173,00) de qualidade foi rareando na cidade. O Barbacoa, decorado como um clube britânico e com muitos detalhes em madeira, é uma exceção. Continua mantendo o padrão de qualidade. Dado o sinal verde (sim, ele ainda existe), começam a rodopiar espetos e mais espetos em torno da mesa. Vamos aos acertos. São ótimos o assado de tira, o bife de tira, o bife ancho, a costela premium e as peças de cordeiro: paleta, costeleta e t-bone. No cardápio desde o ano passado, a barriga de porco com pele pode vir com muita gordura e só vai agradar a quem curte cortes bem untuosos. Um corte fibroso, que sempre exige muito do maxilar, a fraldinha surge em versão ultramacia. Embora de qualidade, a alcatra parece uma carne que fica melhor na panela do que na grelha. O que poderia ser a estrela entre os cortes, já que se trata de uma rara combinação mar e terra nesse tipo de churrascaria, o denver steak, corte do acém, vem com ovas de capelim, que são ofuscadas pela presença de sal na carne. Pontos que merecem atenção são guarnições como o anel de cebola gorduroso, o arroz de carreteiro com grão parboilizado e os sem graça pasteizinhos do couvert. Parte do antigo bufê, ainda suspenso, vai à mesa. É o caso da salada juliana de alface, rúcula, tomate, palmito e do polvo ao vinagrete de ótima textura. Se viesse com menos tempero, o carpaccio revelaria o que importa: o sabor da carne. Uma boa cocada de forno, com fios da fruta fresca, baba de moça e sorvete de creme, sai a R$ 28,00. Mantém unidades com serviço à la carte nos shoppings D&D (tel. 3043-9244) e Morumbi (tel. 5181- 6898)."
17,,Bar do Luiz Fernandes,https://vejasp.abril.com.br/estabelecimento/bar-do-luiz-fernandes/,Resenha por Saulo Yassuda,"A velha mercearia que virou botequim e foi amalgamando um imóvel atrás de outro é um sucesso de público. Os responsáveis pelo fenômeno boêmio são membros da família Fernandes — o bar foi fundado por Idalina e Luiz e hoje é tocado por Luiz Eduardo, um dos filhos do casal, e filhas dele. O endereço é muito famoso pelos bolinhos, como o de carne (R$ 4,00 a unidade) e o brasileirinho (mandioquinha, couve, carne-seca e embutidos; R$ 8,00). E sempre tem novidade. O lançamento mais recente se chama cinquentinha (R$ 9,00), em homenagem ao aniversário do local. É um aperitivo feito de batata e carne de porco e servido com mostarda escura e conserva de repolho-roxo. Para beber, peça a caipirinha de limão-cravo (R$ 25,00), em fatias fininhas no copo americano. Se puder, apareça durante a tarde e fora dos fins de semana, porque a depender do dia o movimento é frenético."
18,,Bar do Luiz Nozoie,https://vejasp.abril.com.br/estabelecimento/bar-do-luiz-nozoie/,Resenha por Saulo Yassuda,"Aos 91 anos, seu Luiz Nozoie não bate mais cartão no bar que fundou 59 anos atrás. Sua filha Marcia junto a outros membros da família mais agregados seguem firmes na missão de tocar o autêntico botequim. As quatro paredes — algumas forradas de azulejo branco — acolhem botequeiros-raiz e novos entusiastas dos pés-sujos, dispostos até a atravessar a cidade para assumir uma das cadeiras dobráveis do salão ou se aboletar no balcão de fórmica branca. É o freguês que escolhe se quer beber sua cervejinha Beck’s, Original, Spaten ou Stella Artois (R$ 15,00 a garrafa de 600 mililitros de cada uma) em copo americano ou tulipa. Outra maneira de molhar a garganta é pedir uma das cachaças ou batidas, estas conservadas em garrafas PET — a de amendoim (R$ 15,00), com um dedinho de licor de cacau, é muito boa. Algumas travessas de petiscos frios, como queijinho cortado (R$ 2,00 o pedaço), ficam expostas. Mas as grandes atrações são as chamadas “frituras da Marcia”. A anfitriã expede deliciosos rissoles — ou pastéis, como costumam chamar por lá — sequinhos, feitos com uma camada de massa cozida fina e saborosa, de empanado delicado. São três opções de recheio: camarão com catupiry, muçarela com orégano e carne moída. Em comum, além do preço (R$ 3,50) e da qualidade do sabor, está a azeitona preta com caroço que guardam no interior. O espetinho de camarão frito com casca e tudo (R$ 6,00) e o bolinho de bacalhau comprido e fino (R$ 4,00) são outras tentações que estagiam em óleo quente."
19,,Bar dos Arcos,https://vejasp.abril.com.br/estabelecimento/bar-dos-arcos/,Resenha por Saulo Yassuda,"Um dos segredos mais mal guardados da cidade é a existência deste bar nas fundações do Teatro Municipal, casa de espetáculos que completou 110 anos em 2021. Ao descer ao porão, delimitado pelos característicos arcos de pedra, entra-se em um submundo etílico, no melhor dos sentidos, onde bancadas altas que emanam luz ajudam a impactar o visual. Depois de períodos de aberturas e fechamento e de contenção, o espaço retornou mais afinado e se mostra em sua melhor fase — a equipe parece mais à vontade no serviço, e o cardápio volta a crescer pouco a pouco. A argentina Chula Barmaid, que esbanjava talento e simpatia, voltou ao país de origem, mas deixou o balcão em boas mãos: Michelly Rossi, que por quase dois anos trabalhou no Fel, tem deixado tudo sob controle, com a equipe bem treinada. A recém-chegada já até incluiu novidades — mas carta nova mesmo, só em 2022 — como o a mia que fizz (R$ 34,00), que equilibra bem os sabores marcantes dos aperitivo italianos Averna e Fernet Branca, suco de limão e aquafaba, água do cozimento de leguminosas que não dá sabor mas cremosidade. O entardecer (R$ 35,00), de Campari, suco de limão, xarope de grapefruit, espumante e aquafaba, tira partido do amargor e se sai bem. Herança de Chula na carta, o cynarito (R$ 36,00), de amaro Cynar 70, gim, suco de maçã, soda de gengibre e limão, é levemente gaseificado e fica ainda melhor ao deixar o gelo derreter um pouco mais. Peça o trio de hamburguinhos da Pina, nome em referência à filha do sócio Facundo Guerra. No pão tostado de leve, os bifinhos altos de carne moída cheia de suco são incrementados com queijo do reino, rúcula, cebola caramelada e maionese verde. Custa R$ 39,00. No térreo do teatro, o café funciona como espera para quem quer ir ao subsolo — filas são frequentes, por isso vale reservar —, mas também é destino para almoço de terça a sexta e brunch nas manhãs e tardes de domingo. "
20,,Benza,https://vejasp.abril.com.br/estabelecimento/benza/,Resenha por Arnaldo Lorençato,"Finalmente um campeão do MasterChef Profissionais resolveu se estabelecer na cidade. Vencedor da segundas temporada do reality da Band para cozinheiros de ofício, em 2017, o mineiro Pablo Oazen deixou para trás Juiz de Fora (MG), onde mantinha o Garagem Gastrobar, para vir brilhar na metrópole — não é a primeira passagem dele por São Paulo, pois foi subchef de Erick Jacquin em 2007 no extinto La Brasserie. O Benza, aberto por ele com nove sócios, está instalado no imóvel onde naufragaram o Nicota e o Oui. Dono de técnica, criatividade e mão para temperos, Oazen acerta em quase todas as receitas. Merecem aplausos beliscos como o abacate na forma de tempurá valorizado por maionese de pimenta sriracha, limão confit e broto de coentro (R$ 24,00), o disco crocante de massa de pastel ao forno coberta por patê de fígado de galinha, alho negro, queijo tulha, pancs, flores, ervas e formiga saúva (R$ 34,00) e o sonho assado de massa fofinha com recheio de creme de siri e também siri-mole empanado crocante mais maionese de algas (R$ 30,00). Por outro lado, sobra um pouco de sal na empadinha de ova de mujol, queijo fresco, ovo de codorna, limão confit e picles de cebola-roxa (R$ 38,00, quatro unidades). Creme defumado, vinho branco, cebola, agrião e urtiga são a base do molho para os tentadores mexilhões de santa Catarina (R$ 29,00). O mar reaparece na ótima canjiquinha socarrat, cozida como uma paella, pregada na panela e coberta por tenras lulinha ao aïoli da tinta, timo e fava verde (R$ 78,00). Quem não dispensa carne deve investir na língua laqueada com alho negro, leite de coco, purê de pupunha fruta e palmito pupunha mais farofa de coquinho licuri (R$ 82,00). Esse foi o prato apresentado na final do MasterChef, como Oazen gosta de frisar de mesa em mesa. Outra de suas receitas para o programa, o sorbet de goiaba recheado de goiabada e gergelim ao lado de catupiry, queijo canastra e crumble de castanha-do-pará (R$ 32,00) também faz bonito."
21,,Bistrot de Paris,https://vejasp.abril.com.br/estabelecimento/bistrot-de-paris/,Resenha por Arnaldo Lorençato,"No Brasil desde 2002, Alain Poletto deu os primeiros passos em direção à gastronomia no hotel de sua família na cidade francesa de Thonon-lesBa ins, na fronteira com a Suíça. Seu restaurante fica na mesma charmosa vilazinha onde também está o concorrido Barú Marisquería. O cardápio mescla pratos clássicos com receitas mais autorais. A sopa de cebola coberta por massa folhada (R$ 52,00) vem com duas torradinhas de queijo e mais queijo ralado para adicionar. Numa linha de diálogo com ingredientes do Brasil, o cozinheiro faz o pirarucu na infusão de erva- cidreira com fios de tomate e de cebola-roxa, pimenta-biquinho e folhas de jambu por cima, combinação com leve toque amargo. Completa-se com a guarnição de farofa de dendê e arroz com fitas de coco queimado e custa R$ 89,00. Também do país natal de Poletto, há creme brûlé (R$ 26,00)."
